SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
PGLC,815,"ALLSHR,KSE100,KSE100PR",13.64,14.65,14.65,12.36,12.71,-0.93,-6.82%,38938
EMCO,803,"ALLSHR,KMIALLSHR",39.6,38.2,39.5,37.0,37.09,-2.51,-6.34%,38524
THALL,802,"ALLSHR,KSE100,KSE100PR",619.41,620.0,620.0,577.76,610.02,-9.39,-1.52%,37529
TSMF,806,ALLSHR,13.23,13.69,14.55,13.6,13.67,0.44,3.33%,36203
JSML,826,"ALLSHR,KMIALLSHR",65.71,63.1,69.5,63.1,68.65,2.94,4.47%,36019
TATM,830,"ALLSHR,KMIALLSHR",95.57,95.0,95.0,90.11,90.63,-4.94,-5.17%,35138
PASM,829,ALLSHR,5.65,6.48,6.64,5.51,6.31,0.66,11.68%,33924
PINL,812,ALLSHR,7.81,8.0,8.3,7.65,7.74,-0.07,-0.90%,32229
JLICL,812,ALLSHR,156.35,153.42,157.25,153.0,156.06,-0.29,-0.18%,31077
ICCI,831,"ALLSHR,KMIALLSHR",11.4,11.29,12.54,11.29,11.85,0.45,3.95%,30737
PCAL,803,ALLSHR,153.98,156.49,156.49,148.0,148.53,-5.45,-3.54%,30656
PICT,833,ALLSHR,30.94,29.8,31.4,29.7,29.94,-1.0,-3.23%,30647
HWQS,826,ALLSHR,18.72,18.72,20.59,17.95,19.52,0.8,4.27%,30180
SSOM,834,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",469.6,470.0,476.0,454.0,455.63,-13.97,-2.97%,29934
LCI,805,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",230.26,229.99,233.99,226.21,229.76,-0.5,-0.22%,29834
KML,829,"ALLSHR,KMIALLSHR",8.69,8.5,8.5,8.3,8.31,-0.38,-4.37%,28738
CHAS,826,ALLSHR,69.81,68.01,76.79,68.01,76.21,6.4,9.17%,28300
MWMP,818,"ALLSHR,KMIALLSHR",55.03,55.5,57.7,54.3,54.63,-0.4,-0.73%,27872
UNICXB,812,ALLSHR,13.43,14.0,14.0,13.02,13.03,-0.4,-2.98%,27465
FEROZ,823,"ALLSHR,KMIALLSHR",338.93,342.98,342.98,325.0,330.57,-8.36,-2.47%,26836
PPVC,805,ALLSHR,14.01,13.2,15.38,12.79,12.95,-1.06,-7.57%,26738
ACPL,804,"ALLSHR,KMIALLSHR",272.44,276.9,276.9,267.0,267.88,-4.56,-1.67%,25881
IML,813,ALLSHR,27.49,25.5,26.45,24.8,25.1,-2.39,-8.69%,25665
DWTM,830,ALLSHR,8.11,8.0,8.1,7.55,8.0,-0.11,-1.36%,25538
LPL,824,ALLSHR,19.01,19.49,19.49,18.75,18.85,-0.16,-0.84%,25170
JSIL,813,ALLSHR,36.49,37.25,37.25,35.11,35.11,-1.38,-3.78%,25100
FML,829,"ALLSHR,KMIALLSHR",38.47,37.36,38.98,37.2,37.46,-1.01,-2.62%,24494
DWSM,826,ALLSHR,5.38,5.55,5.55,5.17,5.19,-0.19,-3.53%,23763
HABSM,826,"ALLSHR,KMIALLSHR",67.65,66.91,67.97,66.75,67.0,-0.65,-0.96%,23225
BNWM,835,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",57.75,57.99,63.3,54.0,60.86,3.11,5.39%,22661
ATIL,812,ALLSHR,75.65,75.6,75.6,74.02,74.68,-0.97,-1.28%,22642
MQTM,830,"ALLSHR,KMIALLSHR",23.49,22.37,23.0,21.14,21.14,-2.35,-10.00%,22568
NBPGETF,837,,29.16,28.62,30.74,28.37,28.78,-0.38,-1.30%,21500
HBLTETF,837,,110.4,110.22,110.32,110.22,110.32,-0.08,-0.07%,21000
CLVL,833,ALLSHR,13.22,13.99,13.99,12.4,12.69,-0.53,-4.01%,20974
ICL,805,"ALLSHR,KMIALLSHR",119.45,119.0,119.9,116.12,117.15,-2.3,-1.92%,20266
AGIC,812,ALLSHR,35.12,35.0,35.01,34.62,34.65,-0.47,-1.34%,20190
IGIHL,812,ALLSHR,206.36,208.0,208.5,200.0,201.27,-5.09,-2.47%,19692
BWCL,804,"ALLSHR,KSE100,KSE100PR",452.89,452.0,452.3,445.0,445.82,-7.07,-1.56%,19616
HGFA,806,"ALLSHR,KSE100,KSE100PR",15.02,15.15,15.15,14.5,14.51,-0.51,-3.39%,19123
UDLI,818,"ALLSHR,KMIALLSHR",16.85,17.16,17.9,16.02,16.27,-0.58,-3.44%,19122
SEPL,822,ALLSHR,138.09,139.9,139.9,133.06,134.45,-3.64,-2.64%,18971
ARUJ,829,ALLSHR,8.87,8.87,9.3,8.4,8.51,-0.36,-4.06%,18907
OLPL,813,ALLSHR,47.76,48.47,48.47,48.0,48.15,0.39,0.82%,18602
SINDM,819,"ALLSHR,KMIALLSHR",19.67,19.54,19.9,19.53,19.64,-0.03,-0.15%,17865
IDYM,830,ALLSHR,99.28,99.0,102.45,98.0,98.63,-0.65,-0.65%,17785
FCIBL,813,ALLSHR,27.5,30.1,30.25,28.0,30.16,2.66,9.67%,17546
WAFI,821,"ALLSHR,KMIALLSHR",180.45,180.6,180.6,178.0,179.2,-1.25,-0.69%,16503
FHAM,819,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",30.1,30.99,31.0,29.0,29.16,-0.94,-3.12%,16326
PNSC,833,ALLSHR,457.39,459.99,459.99,436.01,436.14,-21.25,-4.65%,15905
KOHE,824,"ALLSHR,KMIALLSHR",14.09,14.09,14.19,13.93,14.05,-0.04,-0.28%,15608
NITGETF,837,,34.92,35.0,35.01,33.81,34.84,-0.08,-0.23%,15500
TPLI,812,ALLSHR,23.22,24.8,24.8,23.06,23.49,0.27,1.16%,15315
FPRM,819,"ALLSHR,KMIALLSHR",11.41,11.5,12.41,11.5,11.94,0.53,4.65%,15312
PKGI,812,ALLSHR,32.86,33.1,33.1,31.0,31.06,-1.8,-5.48%,14845
MRNS,826,ALLSHR,58.52,58.5,59.35,57.13,58.44,-0.08,-0.14%,14821
SEL,824,"ALLSHR,KMIALLSHR",24.78,25.49,25.49,22.3,24.32,-0.46,-1.86%,14810
NCML,830,ALLSHR,14.63,15.25,16.09,15.2,16.0,1.37,9.36%,14752
ORM,819,"ALLSHR,KMIALLSHR",10.05,10.0,10.2,9.95,9.95,-0.1,-1.00%,14660
MIRKS,826,ALLSHR,25.26,25.65,25.88,24.65,24.68,-0.58,-2.30%,14531
DYNO,805,"ALLSHR,KMIALLSHR",276.29,270.09,272.5,267.5,269.69,-6.6,-2.39%,14440
ABOT,823,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",938.95,948.0,948.0,920.0,924.46,-14.49,-1.54%,13679
HINOON,823,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",895.36,895.01,910.0,866.0,867.95,-27.41,-3.06%,13448
APL,821,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",538.13,539.0,539.0,520.0,526.42,-11.71,-2.18%,13116
JDMT,830,"ALLSHR,KMIALLSHR",67.0,69.7,70.99,66.66,69.44,2.44,3.64%,12865
SKRS,826,ALLSHR,21.61,20.07,21.59,20.07,20.94,-0.67,-3.10%,12037
AGIL,802,"ALLSHR,KMIALLSHR",136.98,137.0,137.0,131.0,134.72,-2.26,-1.65%,11925
TRIPF,818,ALLSHR,121.24,120.87,120.87,116.0,116.05,-5.19,-4.28%,11506
KHTC,832,ALLSHR,290.09,299.0,299.0,287.0,289.97,-0.12,-0.04%,11104
ATLH,801,"ALLSHR,KSE100,KSE100PR",1479.31,1480.0,1483.0,1466.0,1470.05,-9.26,-0.63%,11016
ACIETF,837,,15.78,15.37,15.58,15.37,15.58,-0.2,-1.27%,11000
SHDT,830,"ALLSHR,KMIALLSHR",43.07,43.0,43.5,41.6,41.77,-1.3,-3.02%,10816
JGICL,812,ALLSHR,66.85,69.8,69.8,63.5,64.46,-2.39,-3.57%,10249
BAPL,805,ALLSHR,43.6,43.6,45.0,42.15,42.9,-0.7,-1.61%,10216
FZCM,829,"ALLSHR,KMIALLSHR",207.45,204.01,211.11,204.01,207.45,0.0,0.00%,10057
GAMON,818,ALLSHR,14.92,15.48,15.48,14.95,15.0,0.08,0.54%,9969
BELA,802,ALLSHR,84.02,84.5,89.0,78.0,82.19,-1.83,-2.18%,9581
